"Plot Title: WellSTIC2"
"#","Date Time, GMT-06:00","Temp, °C (LGR S/N: 21098133, SEN S/N: 21098133, LBL: Temp)","Intensity, Lux (LGR S/N: 21098133, SEN S/N: 21098133, LBL: Cond)","Host Connected (LGR S/N: 21098133, SEN S/N: 21098133)","Coupler Detached (LGR S/N: 21098133, SEN S/N: 21098133)","Coupler Attached (LGR S/N: 21098133, SEN S/N: 21098133)","Stopped (LGR S/N: 21098133, SEN S/N: 21098133)","End Of File (LGR S/N: 21098133, SEN S/N: 21098133)"
6,07/10/21 05:20:54 PM,5.037,33066.9,,,,,
7,07/10/21 05:21:24 PM,5.037,33066.9,,,,,
8,07/10/21 05:21:54 PM,5.037,33066.9,,,,,
9,07/10/21 05:22:24 PM,5.244,33066.9,,,,,
10,07/10/21 05:22:54 PM,5.347,34444.7,,,,,
11,07/10/21 05:23:24 PM,5.552,34444.7,,,,,
12,07/10/21 05:23:54 PM,5.757,34444.7,,,,,
13,07/10/21 05:24:24 PM,6.064,34444.7,,,,,
14,07/10/21 05:24:54 PM,6.268,34444.7,,,,,
15,07/10/21 05:25:24 PM,6.573,34444.7,,,,,
16,07/10/21 05:25:54 PM,6.978,34444.7,,,,,
17,07/10/21 05:26:24 PM,7.381,35822.5,,,,,
18,07/10/21 05:26:54 PM,7.582,35822.5,,,,,
19,07/10/21 05:27:24 PM,7.882,35822.5,,,,,
20,07/10/21 05:27:54 PM,8.082,35822.5,,,,,
21,07/10/21 05:28:24 PM,8.282,35822.5,,,,,
22,07/10/21 05:28:54 PM,8.481,35822.5,,,,,
23,07/10/21 05:29:24 PM,8.581,35822.5,,,,,
24,07/10/21 05:29:54 PM,8.779,35822.5,,,,,
25,07/10/21 05:30:24 PM,8.978,37200.2,,,,,
26,07/10/21 05:30:54 PM,9.176,37200.2,,,,,
27,07/10/21 05:31:24 PM,9.373,37200.2,,,,,
28,07/10/21 05:31:54 PM,9.472,37200.2,,,,,
29,07/10/21 05:32:24 PM,9.669,37200.2,,,,,
30,07/10/21 05:32:54 PM,9.768,37200.2,,,,,
31,07/10/21 05:33:24 PM,9.965,37200.2,,,,,
32,07/10/21 05:33:54 PM,10.063,37200.2,,,,,
33,07/10/21 05:34:24 PM,10.161,37200.2,,,,,
34,07/10/21 05:34:54 PM,10.357,37200.2,,,,,
35,07/10/21 05:35:24 PM,10.455,37200.2,,,,,
36,07/10/21 05:35:54 PM,10.553,38578.0,,,,,
37,07/10/21 05:36:24 PM,10.651,38578.0,,,,,
38,07/10/21 05:36:54 PM,10.748,38578.0,,,,,
39,07/10/21 05:37:24 PM,10.846,38578.0,,,,,
40,07/10/21 05:37:54 PM,10.944,38578.0,,,,,
41,07/10/21 05:38:24 PM,11.139,38578.0,,,,,
42,07/10/21 05:38:54 PM,11.236,38578.0,,,,,
43,07/10/21 05:39:24 PM,11.334,38578.0,,,,,
44,07/10/21 05:39:54 PM,11.431,38578.0,,,,,
45,07/10/21 05:40:24 PM,11.528,38578.0,,,,,
46,07/10/21 05:40:54 PM,11.625,38578.0,,,,,
47,07/10/21 05:41:24 PM,11.722,38578.0,,,,,
48,07/10/21 05:41:54 PM,11.819,38578.0,,,,,
49,07/10/21 05:42:24 PM,11.916,38578.0,,,,,
50,07/10/21 05:42:54 PM,12.013,39955.8,,,,,
51,07/10/21 05:43:24 PM,12.110,39955.8,,,,,
52,07/10/21 05:43:54 PM,12.207,39955.8,,,,,
53,07/10/21 05:44:24 PM,12.304,39955.8,,,,,
54,07/10/21 05:44:54 PM,12.401,39955.8,,,,,
55,07/10/21 05:45:24 PM,12.497,39955.8,,,,,
56,07/10/21 05:45:54 PM,12.594,39955.8,,,,,
57,07/10/21 05:46:24 PM,12.690,39955.8,,,,,
58,07/10/21 05:46:54 PM,12.690,39955.8,,,,,
59,07/10/21 05:47:24 PM,12.883,39955.8,,,,,
60,07/10/21 05:47:54 PM,12.883,39955.8,,,,,
61,07/10/21 05:48:24 PM,12.980,41333.6,,,,,
62,07/10/21 05:48:54 PM,13.076,41333.6,,,,,
63,07/10/21 05:49:24 PM,13.076,41333.6,,,,,
64,07/10/21 05:49:54 PM,13.173,41333.6,,,,,
65,07/10/21 05:50:24 PM,13.269,41333.6,,,,,
66,07/10/21 05:50:54 PM,13.269,41333.6,,,,,
67,07/10/21 05:51:24 PM,13.365,41333.6,,,,,
68,07/10/21 05:51:54 PM,13.461,41333.6,,,,,
69,07/10/21 05:52:24 PM,13.461,41333.6,,,,,
70,07/10/21 05:52:54 PM,13.558,41333.6,,,,,
71,07/10/21 05:53:24 PM,13.558,41333.6,,,,,
72,07/10/21 05:53:54 PM,13.654,41333.6,,,,,
73,07/10/21 05:54:24 PM,13.750,41333.6,,,,,
74,07/10/21 05:54:54 PM,13.750,41333.6,,,,,
75,07/10/21 05:55:24 PM,13.846,41333.6,,,,,
76,07/10/21 05:55:54 PM,13.942,41333.6,,,,,
77,07/10/21 05:56:24 PM,13.942,41333.6,,,,,
78,07/10/21 05:56:54 PM,14.038,41333.6,,,,,
79,07/10/21 05:57:24 PM,14.038,41333.6,,,,,
80,07/10/21 05:57:54 PM,14.134,41333.6,,,,,
